1.056,-0.0442744,0.0494833,1.0607,0.0666893,0.0627905,0.984391,0.288657,0.139649,0.660102,0.393102,0.0718211
2.0675,-0.137287,0.0659266,2.11512,0.199805,0.125581,1.88214,0.123921,0.0244338,1.2976,0.40068,0.0858462
3.18765,0.0126234,-0.0671854,3.15911,0.398823,0.188372,2.8891,0.316379,0.136891,2.44829,0.510517,0.0245479
4.10971,0.0630541,0.0831902,4.18855,0.662958,0.251162,3.85205,0.44972,0.164687,3.43391,0.613279,0.0821482
5.0944,0.273144,0.164175,5.19939,0.991169,0.313953,4.85099,0.440099,0.108296,4.43199,0.627819,0.142682
6.02869,0.569862,0.222037,6.18765,1.38216,0.376743,6.01885,0.610147,0.161661,5.71732,0.742357,0.225823
7.12366,0.993689,0.406613,7.14942,1.8344,0.439534,7.04983,0.97193,0.285587,6.45108,1.24284,0.383663
8.12183,1.49247,0.541084,8.08092,2.34609,0.502324,8.15348,1.40908,0.369354,7.5041,1.72872,0.538857
9.02451,2.22822,0.562345,8.97848,2.91523,0.565115,9.22238,1.95735,0.459537,8.64823,2.24429,0.591389
9.89444,2.83171,0.412051,9.83855,3.53957,0.627905,10.0177,2.93887,0.742149,9.5929,3.08112,0.532958
10.8405,3.2335,0.644939,10.6578,4.21665,0.690696,10.6497,3.31619,0.71531,10.4042,3.33854,0.59294
11.5104,3.71798,0.749091,11.4329,4.94379,0.753486,11.2241,3.88126,0.783283,10.8488,3.94967,0.696525
12.3782,4.31551,0.795174,12.1608,5.71814,0.816277,12.0095,4.41862,0.736892,11.885,4.38964,0.748749
13.0493,5.2156,0.713461,12.8387,6.53664,0.879067,12.8441,5.40204,0.836415,12.9383,5.26602,0.760643
13.8208,5.98471,0.744022,13.4639,7.39607,0.941858,13.457,6.005,0.853827,13.5038,5.85958,0.796387
14.5926,6.6559,0.694049,14.034,8.29304,1.00465,14.191,6.87333,0.887897,14.5776,6.57287,0.745048
15.3451,7.49098,0.62261,14.5467,9.22401,1.06744,14.587,8.21204,1.1657,15.1006,7.81628,0.705337
16.2936,8.12972,0.596384,14.9999,10.1853,1.13023,14.6892,9.27979,1.36179,15.7492,8.59315,0.665884
17.201,8.85555,0.610519,15.3919,11.1732,1.19302,14.6285,10.0438,1.52655,16.4925,8.92233,0.639156
17.863,9.56472,0.641936,15.7212,12.1837,1.25581,14.5368,11.4782,1.60713,17.2953,9.95724,0.706107
18.6195,10.4134,0.866675,15.9864,13.2128,1.3186,14.691,12.7257,1.51743,18.487,10.6617,0.799503
19.2047,11.1962,0.873835,16.1865,14.2566,1.38139,14.8317,13.6807,1.50926,18.9558,11.4095,0.872686
19.8846,11.8372,0.709649,16.3207,15.3109,1.44418,14.9245,14.7642,1.52229,19.5782,12.2451,0.779417
20.6026,12.4252,0.917657,16.3885,16.3715,1.50697,15.1837,15.2658,1.47835,20.328,12.4406,0.843856
21.2672,13.2038,1.13411,16.3896,17.4343,1.56976,15.7463,15.9129,1.28568,20.8729,13.094,1.0594
21.7047,14.2075,1.24327,16.324,18.4951,1.63255,16.8173,16.7291,0.916335,21.6154,14.133,1.17727
22.1493,15.17,1.29414,16.1919,19.5496,1.69534,18.3252,17.1347,0.47346,21.8341,15.2601,1.29015
22.3237,16.3751,1.44971,15.994,20.5938,1.75813,20.2288,17.3199,0.136532,22.0279,16.42,1.39962
